Number of detectors, Number of user table parameters/detector                   
6284 6
Det# 	Delta	L2	Code 2theta  dcode eff_fac effc  res      dtime   phi            
502117  -1.00   1.3832  900   79.779  2.0  1.25000  1.0  0.00550  3.00   29.700
502118  -1.00   1.3755  900   79.583  2.0  1.25000  1.0  0.00550  3.00   29.700
502119  -1.00   1.3832  900   79.516  2.0  1.25000  1.0  0.00550  3.00   29.700
502120  -1.00   1.3755  900   79.169  2.0  1.25000  1.0  0.00550  3.00   29.700
502201  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502202  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502203  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502204  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502205  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502206  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
502207  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
503200  -1.00   0.9999  900    0.000  2.0  1.25000  1.0  0.00550  3.00    0.000
503001  -1.00   1.3832  900  103.924  2.0  1.25000  1.0  0.00550  3.00   19.800
503002  -1.00   1.3755  900  103.715  2.0  1.25000  1.0  0.00550  3.00   19.800
503003  -1.00   1.3832  900  103.490  2.0  1.25000  1.0  0.00550  3.00   19.800
503004  -1.00   1.3755  900  103.298  2.0  1.25000  1.0  0.00550  3.00   19.800
503005  -1.00   1.3832  900  103.064  2.0  1.25000  1.0  0.00550  3.00   19.800
503006  -1.00   1.3755  900  102.864  2.0  1.25000  1.0  0.00550  3.00   19.800
503007  -1.00   1.3832  900  102.638  2.0  1.25000  1.0  0.00550  3.00   19.800
503008  -1.00   1.3755  900  102.445  2.0  1.25000  1.0  0.00550  3.00   19.800
503009  -1.00   1.3832  900  102.226  2.0  1.25000  1.0  0.00550  3.00   19.800
503010  -1.00   1.3755  900  102.029  2.0  1.25000  1.0  0.00550  3.00   19.800
503011  -1.00   1.3832  900  101.805  2.0  1.25000  1.0  0.00550  3.00   19.800
503012  -1.00   1.3755  900  101.616  2.0  1.25000  1.0  0.00550  3.00   19.800
503013  -1.00   1.3832  900  101.399  2.0  1.25000  1.0  0.00550  3.00   19.800
503014  -1.00   1.3755  900  101.212  2.0  1.25000  1.0  0.00550  3.00   19.800
503015  -1.00   1.3832  900  100.982  2.0  1.25000  1.0  0.00550  3.00   19.800
503016  -1.00   1.3755  900  100.784  2.0  1.25000  1.0  0.00550  3.00   19.800
503017  -1.00   1.3832  900  100.568  2.0  1.25000  1.0  0.00550  3.00   19.800
503018  -1.00   1.3755  900  100.523  2.0  1.25000  1.0  0.00550  3.00   19.800
503019  -1.00   1.3832  900  100.146  2.0  1.25000  1.0  0.00550  3.00   19.800
503020  -1.00   1.3755  900   99.952  2.0  1.25000  1.0  0.00550  3.00   19.800
503021  -1.00   1.3832  900   99.722  2.0  1.25000  1.0  0.00550  3.00   19.800
503022  -1.00   1.3755  900   99.528  2.0  1.25000  1.0  0.00550  3.00   19.800
503023  -1.00   1.3832  900   99.303  2.0  1.25000  1.0  0.00550  3.00   19.800
503024  -1.00   1.3755  900   99.121  2.0  1.25000  1.0  0.00550  3.00   19.800
503025  -1.00   1.3832  900   98.888  2.0  1.25000  1.0  0.00550  3.00   19.800
503026  -1.00   1.3755  900   98.690  2.0  1.25000  1.0  0.00550  3.00   19.800
503027  -1.00   1.3832  900   98.467  2.0  1.25000  1.0  0.00550  3.00   19.800
503028  -1.00   1.3755  900   98.279  2.0  1.25000  1.0  0.00550  3.00   19.800
503029  -1.00   1.3832  900   98.066  2.0  1.25000  1.0  0.00550  3.00   19.800
